,Date,Information,Term
0,"Friday, May 3",Undergraduate Application Deadline,"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
1,"Wednesday, May 8",Undergraduate New Student Registration Deadline,"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
2,"Monday, May 13",Undergraduate Summer term 1 begins,"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
3,"Friday, May 17",Last day to add courses/last day to drop courses at 100%,"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
4,"Monday, May 27",Memorial Day (offices closed),"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
5,"Friday, June 14",Last day to withdraw from courses,"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
6,"Saturday, June 22",Undergraduate Summer term 1 ends,"Summer Term 1 (Undergraduate): May 13, 2024 - June 22, 2024"
7,"Friday, June 14",Undergraduate Application Deadline,"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
8,"Wednesday, June 19",Undergraduate New Student Registration Deadline,"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
9,"Monday, June 24",Undergraduate Summer term 2 begins,"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
10,"Friday, June 28",Last day to add courses/last day to drop courses at 100%,"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
11,"Thursday, July 4",4th of July observed (offices closed),"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
12,"Friday, July 26",Last day to withdraw from courses,"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
13,"Saturday, August 3",Undergraduate Summer term 2 ends,"Summer Term 2 (Undergraduate): June 24, 2024 - August 3, 2023"
14,"Friday, May 24",Graduate Application Deadline,"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
15,"Wednesday, May 29",Graduate New Student Registration Deadline,"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
16,"Monday, June 10",Graduate Summer term begins,"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
17,"Monday, June 17",Last day to add courses/last day to drop courses at 100%,"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
18,"Thursday, July 4",4th of July observed (offices closed),"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
19,"Wednesday, July 24",Last day to withdraw from courses,"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
20,"Saturday, August 3",Graduate Summer term ends,"Summer Term (Graduate): June 10, 2024 - August 3, 2024"
21,August 9,Graduate and undergraduate application deadline,"Fall Term 1: August 19, 2024 - October 12, 2024"
22,August 14,New Student Registration deadline,"Fall Term 1: August 19, 2024 - October 12, 2024"
23,August 19,Fall term 1 begins,"Fall Term 1: August 19, 2024 - October 12, 2024"
24,August 26,Last day to add courses/last day to drop courses at 100% refund,"Fall Term 1: August 19, 2024 - October 12, 2024"
25,October 2,Last day to withdraw from courses,"Fall Term 1: August 19, 2024 - October 12, 2024"
26,October 12,Fall term 1 ends,"Fall Term 1: August 19, 2024 - October 12, 2024"
27,October 14-October 15,Fall Break (no classes),"Fall Term 1: August 19, 2024 - October 12, 2024"
28,October 11,Graduate and undergraduate application deadline,"Fall Term 2: October 21, 2024 - December 14, 2024  "
29,October 16,New Student Registration deadline,"Fall Term 2: October 21, 2024 - December 14, 2024  "
30,October 21,Fall term 2 begins,"Fall Term 2: October 21, 2024 - December 14, 2024  "
31,October 28,Last day to add courses/last day to drop courses at 100% refund,"Fall Term 2: October 21, 2024 - December 14, 2024  "
32,November 28-November 29,Thanksgiving break (offices closed),"Fall Term 2: October 21, 2024 - December 14, 2024  "
33,December 4,Last day to withdraw from courses,"Fall Term 2: October 21, 2024 - December 14, 2024  "
34,December 14,Fall term 2 ends,"Fall Term 2: October 21, 2024 - December 14, 2024  "
35,December 15-January 3,Winter Break (offices closed Dec. 25th – Jan 1st ),"Fall Term 2: October 21, 2024 - December 14, 2024  "
36,December 27,Graduate and undergraduate application deadline,"Spring Term 1: January 6, 2025 - March 1, 2025  "
37,January 1,Graduate and Undergraduate New Student Registration Deadline,"Spring Term 1: January 6, 2025 - March 1, 2025  "
38,January 6,Spring term 1 begins,"Spring Term 1: January 6, 2025 - March 1, 2025  "
39,January 13,Last day to ass courses/last day to drop courses at 100% refund,"Spring Term 1: January 6, 2025 - March 1, 2025  "
40,January 20,Martin Luther King Day (offices closed),"Spring Term 1: January 6, 2025 - March 1, 2025  "
41,February 19,Last day to withdraw from courses,"Spring Term 1: January 6, 2025 - March 1, 2025  "
42,March 1,Spring term 1 ends,"Spring Term 1: January 6, 2025 - March 1, 2025  "
43,March 3-7,Spring Break (no classes),"Spring Term 1: January 6, 2025 - March 1, 2025  "
44,February 28,Graduate and undergraduate application deadline,"Spring Term 2: March 10, 2025 - May 3, 2025"
45,March 5,Graduate and Undergraduate New Student Registration Deadline,"Spring Term 2: March 10, 2025 - May 3, 2025"
46,March 10,Spring term 2 begins,"Spring Term 2: March 10, 2025 - May 3, 2025"
47,March 17,Last day to add courses/last day to drop courses at 100% refund,"Spring Term 2: March 10, 2025 - May 3, 2025"
48,April 18,Good Friday (offices closed),"Spring Term 2: March 10, 2025 - May 3, 2025"
49,April 23,Last day to withdraw from courses,"Spring Term 2: March 10, 2025 - May 3, 2025"
50,May 3,Spring term 2 ends,"Spring Term 2: March 10, 2025 - May 3, 2025"
51,May 5– May 10,Undergraduate Summer Break (no classes),"Spring Term 2: March 10, 2025 - May 3, 2025"
